Document ID,consent,group,initial_answers,initial_quiz_time,initial_selected_options,retry_answers,retry_quiz_time,retry_selected_options,subgroup,user_id,participantID,age,education,gender,income,initial_list,1Q1,1Q2,1Q3,1Q4,1Q5,1Q6,1Q7,retry_list,2Q1,2Q2,2Q3,2Q4,2Q5,2Q6,2Q7,1Q_acc,2Q_acc
KZ-FUSK-MZPC,FALSE,3,"[false, false, false, false, true, false]",,"[""All of the above"", ""By reporting the childâ€™s profile to moderators"", ""Only collects it from children over the age of 10"", ""By suspending the childâ€™s account until further notice"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details""]","[false, false, true, false, true, false]",,"[""None of the above"", ""By clearing their internet browser history"", ""Seeks verifiable parental consent before collection"", ""By suspending the childâ€™s account until further notice"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details""]",,"""KZ-FUSK-MZPC""",pcb348112,,,,,"[False, False, False, False, True, False]",0,0,0,0,1,0,,"[False, False, True, False, True, False]",0,0,1,0,1,0,,0.166666667,0.333333333
KZ-9TFF-PPFN,TRUE,0,"[true, false, true, true, false, false]",,"[""Web browser type or IP address"", ""By reporting the childâ€™s profile to moderators"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For any individual under the age of 18 using a U.S.-based website"", ""When a parent publicly shares the childâ€™s account details""]",,,,,"""KZ-9TFF-PPFN""",pb9ad69bc,,,,,"[True, False, True, True, False, False]",1,0,1,1,0,0,,,,,,,,,,0.5,
KZ-8TBG-C23R,FALSE,3,"[true, true, true, false, false, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety""]","[false, true, true, false, false, true]",,"[""Physical home address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety""]",,"""KZ-8TBG-C23R""",pcc03c217,,,,,"[True, True, True, False, False, True]",1,1,1,0,0,1,,"[False, True, True, False, False, True]",0,1,1,0,0,1,,0.666666667,0.5
KZ-FMP5-82MF,FALSE,2,"[false, true, true, false, false, false, false]",,"[""Social Security Number"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""Only if the website knows the user is under 10 years old"", ""When a parent publicly shares the childâ€™s account details"", ""Yes, but only if I am notified and consent.""]","[false, false, true, false, false, false, false]",,"[""Social Security Number"", ""By reporting the childâ€™s profile to moderators"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""Only if the website knows the user is under 10 years old"", ""When a parent publicly shares the childâ€™s account details"", ""Yes, but only if I am notified and consent.""]","""A""","""KZ-FMP5-82MF""",pba97db15,,,,,"[False, True, True, False, False, False, False]",0,1,1,0,0,0,0,"[False, False, True, False, False, False, False]",0,0,1,0,0,0,0,0.285714286,0.142857143
KZ-HKTJ-XMKB,TRUE,3,"[true, true, true, false, true, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details""]","[true, true, true, false, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety""]",,"""KZ-HKTJ-XMKB""",pcbaf1a68,,,,,"[True, True, True, False, True, False]",1,1,1,0,1,0,,"[True, True, True, False, True, True]",1,1,1,0,1,1,,0.666666667,0.833333333
KZ-HGN7-DACB,TRUE,1,"[false, false, false, false, false, false]",,"[""Social Security Number"", ""By reporting the childâ€™s profile to moderators"", ""Automatically masks it before storing"", ""Through a public court hearing in the childâ€™s home state"", ""Only if the website knows the user is under 10 years old"", ""Only if the child wins a prize""]",,,,,"""KZ-HGN7-DACB""",pa0a86a30,,,,,"[False, False, False, False, False, False]",0,0,0,0,0,0,,,,,,,,,,0,
KZ-K9UK-GA4X,TRUE,3,"[false, true, false, false, false, false]",,"[""All of the above"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Automatically masks it before storing"", ""Through a public court hearing in the childâ€™s home state"", ""For any individual under the age of 18 using a U.S.-based website"", ""When a parent publicly shares the childâ€™s account details""]","[true, true, false, true, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Requests approval from the app store"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety""]",,"""KZ-K9UK-GA4X""",pc6f3d93d,,,,,"[False, True, False, False, False, False]",0,1,0,0,0,0,,"[True, True, False, True, True, True]",1,1,0,1,1,1,,0.166666667,0.833333333
KZ-CL2Q-VWG5,TRUE,1,"[true, false, true, false, true, false]",,"[""Web browser type or IP address"", ""By clearing their internet browser history"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""For children under 13 years old before collecting personal information"", ""When a third-party company requests it for advertising""]",,,,,"""KZ-CL2Q-VWG5""",paf601754,,,,,"[True, False, True, False, True, False]",1,0,1,0,1,0,,,,,,,,,,0.5,
KZ-R7HN-HTKJ,TRUE,3,"[true, true, true, false, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety""]",[],,[],,"""KZ-R7HN-HTKJ""",pf6c31145,,,,,"[True, True, True, False, True, True]",1,1,1,0,1,1,,[],,,,,,,,0.833333333,
KZ-5H9M-D3A7,TRUE,0,"[true, true, true, false, false, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By suspending the childâ€™s account until further notice"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety""]",,,,,"""KZ-5H9M-D3A7""",pb7fe1bbc,,,,,"[True, True, True, False, False, True]",1,1,1,0,0,1,,,,,,,,,,0.666666667,
